Dataset,Model,Loss,F1-Score,ROC_AUC,PR_AUC,Accuracy,Precision,Recall
glass,xgboost_gblinear,focal_loss,0.656289398,0.918276742,0.742674552,0.6,0.637050961,0.779986197
glass,xgboost_gblinear,standard_ce,0.638007926,0.911686159,0.724672372,0.676923077,0.615925926,0.668248217
glass,xgboost_gblinear,adaptive_ce,0.69929524,0.912238251,0.729120118,0.723076923,0.676234568,0.73636991
glass,xgboost_gblinear,weighted_ce_inv,0.629037546,0.917655676,0.745038785,0.569230769,0.613988095,0.739406487
page_blocks,xgboost_gblinear,class_balanced_ce,0.840316423,0.981172282,0.883075642,0.961632156,0.815879725,0.875230673
page_blocks,xgboost_gblinear,adaptive_ce,0.815251274,0.982044835,0.891907138,0.961632156,0.829486598,0.802522246
page_blocks,xgboost_gblinear,power_scaled_adaptive_ce,0.830024612,0.982620629,0.888647743,0.956760049,0.792037572,0.875607717
page_blocks,xgboost_gblinear,standard_ce,0.829189133,0.981303943,0.885514615,0.96589525,0.8792267,0.788452302
page_blocks,xgboost_gblinear,weighted_ce_inv_sqrt,0.824948532,0.982035563,0.879121458,0.952496955,0.776704307,0.885983577
page_blocks,xgboost_gblinear,focal_loss,0.787259276,0.974143436,0.85918433,0.945188794,0.724847237,0.884702395
page_blocks,xgboost_gblinear,weighted_ce_inv,0.143470851,0.659010475,0.259325289,0.107795371,0.282776478,0.503456494
page_blocks,xgboost_gblinear,power_scaled_inv_ce,0.006235012,0.5,0.2,0.015834348,0.00316687,0.2
secom,xgboost_gblinear,weighted_ce_inv,0.254545455,0.732697947,0.167475041,0.738853503,0.156716418,0.677419355
secom,xgboost_gblinear,class_balanced_ce,0.204081633,0.747140762,0.170030027,0.917197452,0.277777778,0.161290323
secom,xgboost_gblinear,weighted_ce_inv_sqrt,0.192307692,0.732624633,0.186888302,0.910828025,0.238095238,0.161290323
secom,xgboost_gblinear,adaptive_ce,0.130434783,0.705498534,0.1436964,0.91507431,0.2,0.096774194
secom,xgboost_gblinear,standard_ce,0.166666667,0.69457478,0.140127445,0.91507431,0.235294118,0.129032258
secom,xgboost_gblinear,focal_loss,0.163265306,0.701906158,0.14083123,0.912951168,0.222222222,0.129032258
secom,xgboost_gblinear,power_scaled_adaptive_ce,0.16,0.688343109,0.140250357,0.910828025,0.210526316,0.129032258
secom,xgboost_gblinear,power_scaled_inv_ce,0.148148148,0.76473607,0.17911861,0.902335456,0.173913043,0.129032258
steel_faults,xgboost_gblinear,standard_ce,0.704753076,0.927587578,0.725786412,0.715265866,0.695400995,0.717834336
steel_faults,xgboost_gblinear,adaptive_ce,0.705150084,0.928306626,0.726554488,0.711835334,0.68312668,0.734846069
steel_faults,xgboost_gblinear,power_scaled_adaptive_ce,0.704417748,0.927152801,0.726223668,0.706689537,0.678115884,0.746032024
steel_faults,xgboost_gblinear,power_scaled_inv_ce,0.696456153,0.928174522,0.723746813,0.703259005,0.670690716,0.739213385
steel_faults,xgboost_gblinear,weighted_ce_inv_sqrt,0.693741986,0.925201164,0.727115762,0.691252144,0.664102718,0.748936478
steel_faults,xgboost_gblinear,class_balanced_ce,0.686590408,0.925638621,0.72842113,0.701543739,0.679614646,0.698714564
steel_faults,xgboost_gblinear,focal_loss,0.659103275,0.924164279,0.710485517,0.665523156,0.637150536,0.711082704
steel_faults,xgboost_gblinear,weighted_ce_inv,0.627083774,0.921897905,0.723400411,0.629502573,0.600065377,0.730739877
telco_churn,xgboost_gblinear,class_balanced_ce,0.629100084,0.834825859,0.626443553,0.791292002,0.595541401,0.666666667
telco_churn,xgboost_gblinear,weighted_ce_inv_sqrt,0.625726141,0.834225173,0.627612396,0.786559394,0.585403727,0.67201426
telco_churn,xgboost_gblinear,weighted_ce_inv,0.624737945,0.842890893,0.638392101,0.745858968,0.513793103,0.796791444
telco_churn,xgboost_gblinear,power_scaled_adaptive_ce,0.623461854,0.842924201,0.638466552,0.782773308,0.577507599,0.677361854
telco_churn,xgboost_gblinear,focal_loss,0.622371741,0.836159311,0.628781651,0.787505916,0.589171975,0.659536542
telco_churn,xgboost_gblinear,power_scaled_inv_ce,0.620294599,0.841689523,0.636791983,0.780407004,0.573373676,0.675579323
telco_churn,xgboost_gblinear,adaptive_ce,0.625314334,0.83650617,0.634319784,0.788452437,0.590189873,0.664884135
telco_churn,xgboost_gblinear,standard_ce,0.606001936,0.84474004,0.642555025,0.807382868,0.663135593,0.557932264
yeast,xgboost_gblinear,adaptive_ce,0.556491229,0.853469362,0.596424144,0.569506726,0.546264978,0.576351115
yeast,xgboost_gblinear,class_balanced_ce,0.582508961,0.853501322,0.597347156,0.576233184,0.592105919,0.577187997
yeast,xgboost_gblinear,standard_ce,0.579132256,0.853961359,0.596443814,0.573991031,0.596392943,0.567426134
yeast,xgboost_gblinear,power_scaled_adaptive_ce,0.531097843,0.855192633,0.594329619,0.551569507,0.515256735,0.558337269
yeast,xgboost_gblinear,weighted_ce_inv_sqrt,0.52115798,0.853941795,0.593439894,0.542600897,0.499343077,0.556074755
yeast,xgboost_gblinear,power_scaled_inv_ce,0.51701048,0.853666835,0.590925564,0.549327354,0.492438171,0.564906993
yeast,xgboost_gblinear,focal_loss,0.465933986,0.838987865,0.505656859,0.5,0.452939733,0.559602095
yeast,xgboost_gblinear,weighted_ce_inv,0.462999212,0.833390097,0.484175509,0.477578475,0.433805832,0.581062446
